,FIPS,State,County,Unreliable,premature_deathDeaths,premature_deathYears_of_Potential_Life_Lost_Rate,premature_death_95% CILow,premature_death_95% CI - High,premature_death_Quartile,premature_death_YPLL Rate (AIAN),premature_death_YPLL Rate (AIAN) 95% CI - Low,premature_death_YPLL Rate (AIAN) 95% CI - High,premature_death_YPLL Rate (AIAN) Unreliable,premature_death_YPLL Rate (Asian),premature_death_YPLL Rate (Asian) 95% CI - Low,premature_death_YPLL Rate (Asian) 95% CI - High,premature_death_YPLL Rate (Asian) Unreliable,premature_death_YPLL Rate (Black),premature_death_YPLL Rate (Black) 95% CI - Low,premature_death_YPLL Rate (Black) 95% CI - High,premature_death_YPLL Rate (Black) Unreliable,premature_death_YPLL Rate (Hispanic),premature_death_YPLL Rate (Hispanic) 95% CI - Low,premature_death_YPLL Rate (Hispanic) 95% CI - High,premature_death_YPLL Rate (Hispanic) Unreliable,premature_death_YPLL Rate (White),premature_death_YPLL Rate (White) 95% CI - Low,premature_death_YPLL Rate (White) 95% CI - High,premature_death_YPLL Rate (White) Unreliable,poor-or_fair_health_% Fair or Poor Health,poor-or_fair_health_95% CI - Low,poor-or_fair_health_95% CI - High,poor-or_fair_health_Quartile,poor_physical_health_days_Average Number of Physically Unhealthy Days,poor_physical_health_days_95% CI - Low,poor_physical_health_days_95% CI - High,poor_physical_health_days_Quartile,poor_mental_health_days_Average Number of Mentally Unhealthy Days,poor_mental_health_days_95% CI - Low,poor_mental_health_days_95% CI - High,poor_mental_health_days_Quartile,low_birthweight_Unreliable,low_birthweight_% Low birthweight,low_birthweight_95% CI - Low,low_birthweight_95% CI - High,low_birthweight_Quartile,low_birthweight_% LBW (AIAN),low_birthweight_% LBW (AIAN) 95% CI - Low,low_birthweight_% LBW (AIAN) 95% CI - High,low_birthweight_% LBW (Asian),low_birthweight_% LBW (Asian) 95% CI - Low,low_birthweight_% LBW (Asian) 95% CI - High,low_birthweight_% LBW (Black),low_birthweight_% LBW (Black) 95% CI - Low,low_birthweight_% LBW (Black) 95% CI - High,low_birthweight_% LBW (Hispanic),low_birthweight_% LBW (Hispanic) 95% CI - Low,low_birthweight_% LBW (Hispanic) 95% CI - High,low_birthweight_% LBW (White),low_birthweight_% LBW (White) 95% CI - Low,low_birthweight_% LBW (White) 95% CI - High,adult_smoking_% Smokers,adult_smoking_95% CI - Low,adult_smoking_95% CI - High,adult_smoking_Quartile,adult_obesity_% Adults with Obesity,adult_obesity_95% CI - Low,adult_obesity_95% CI - High,adult_obesity_Quartile,food_environment_index_Food Environment Index,food_environment_index_Quartile,physical_inactivity_% Physically Inactive,95% CI - Low,physical_inactivity_95% CI - High,physical_inactivity_Quartile,access_to_exercise_opportunities_% With Access to Exercise Opportunities,access_to_exercise_opportunities_Quartile,excessive_drinking_% Excessive Drinking,excessive_drinking_95% CI - Low,excessive_drinking_95% CI - High,excessive_drinking_Quartile,alcohol_impaired_driving_deaths_# Alcohol-Impaired Driving Deaths,alcohol_impaired_driving_deaths_# Driving Deaths,alcohol_impaired_driving_deaths_% Driving Deaths with Alcohol Involvement,alcohol_impaired_driving_deaths_95% CI - Low,alcohol_impaired_driving_deaths_95% CI - High,alcohol_impaired_driving_deaths_Quartile,sexually_transmitted_infections_# Chlamydia Cases,sexually_transmitted_infections_Chlamydia Rate,sexually_transmitted_infections_Quartile,teen_births_Teen Birth Rate,teen_births_95% CI - Low,teen_births_95% CI - High,teen_births_Quartile,teen_births_Teen Birth Rate (AIAN),teen_births_Teen Birth Rate (AIAN) 95% CI - Low,teen_births_Teen Birth Rate (AIAN) 95% CI - High,teen_births_Teen Birth Rate (Asian),teen_births_Teen Birth Rate (Asian) 95% CI - Low,teen_births_Teen Birth Rate (Asian) 95% CI - High,teen_births_Teen Birth Rate (Black),teen_births_Teen Birth Rate (Black) 95% CI - Low,teen_births_Teen Birth Rate (Black) 95% CI - High,teen_births_Teen Birth Rate (Hispanic),teen_births_Teen Birth Rate (Hispanic) 95% CI - Low,teen_births_Teen Birth Rate (Hispanic) 95% CI - High,teen_births__Teen Birth Rate (White),Teen Birth Rate (White) 95% CI - Low,teen_births_Teen Birth Rate (White) 95% CI - High,uninsured# Uninsured,uninsured_% Uninsured,uninsured_95% CI - Low,uninsured_95% CI - High,uninsured_Quartile,primary_care_physicians_# Primary Care Physicians,primary_care_physicians_Primary Care Physicians Rate,primary_care_physicians_Primary Care Physicians Ratio,primary_care_physicians_Quartile,dentists_# Dentists,dentists_Dentist Rate,dentists_Dentist Ratio,dentists_Quartile,mental_health_providers_# Mental Health Providers,mental_health_providers_Mental Health Provider Rate,mental_health_providers_Mental Health Provider Ratio,mental_health_providers_Quartile,preventable_hospital_stays_Preventable Hospitalization Rate,preventable_hospital_stays_Quartile,preventable_hospital_stays_Preventable Hosp. Rate (AIAN),preventable_hospital_stays_Preventable Hosp. Rate (Asian),preventable_hospital_stays_Preventable Hosp. Rate (Black),preventable_hospital_stays_Preventable Hosp. Rate (Hispanic),preventable_hospital_stays_Preventable Hosp. Rate (White),mammography_screening_% With Annual Mammogram,mammography_screening_Quartile,mammography_screening_% Screened (AIAN),mammography_screening_% Screened (Asian),mammography_screening_% Screened (Black),mammography_screening_% Screened (Hispanic),mammography_screening_% Screened (White),flu_vaccinations_% Vaccinated,flu_vaccinations_Quartile,flu_vaccinations_% Vaccinated (AIAN),flu_vaccinations_% Vaccinated (Asian),flu_vaccinations_% Vaccinated (Black),flu_vaccinations_% Vaccinated (Hispanic),flu_vaccinations_% Vaccinated (White),high_school_completion_# Completed High School,high_school_completion_Population,high_school_completion_% Completed High School,high_school_completion_95% CI - Low,high_school_completion_95% CI - High,high_school_completion_Quartile,some_college_# Some College,some_college_Population,some_college_% Some College,some_college_95% CI - Low,some_college_95% CI - High,some_college_Quartile,unemployed_# Unemployed,unemployed_Labor Force,unemployed_% Unemployed,unemployed_Quartile,children_in_poverty_% Children in Poverty,children_in_poverty_95% CI - Low,children_in_poverty_95% CI - High,children_in_poverty_Quartile,children_in_poverty_% Children in Poverty (AIAN),children_in_poverty_% Children in Poverty (Asian),children_in_poverty_% Children in Poverty (Black),children_in_poverty_% Children in Poverty (Hispanic),children_in_poverty_% Children in Poverty (White),income_inequality_80th Percentile Income,income_inequality_20th Percentile Income,income_inequality_Income Ratio,income_inequality_Quartile,children_in_single_parent_households_# Children in Single-Parent Households,children_in_single_parent_households_# Children in Households,children_in_single_parent_households_% Children in Single-Parent Households,children_in_single_parent_households_95% CI - Low,children_in_single_parent_households_95% CI - High,children_in_single_parent_households_Quartile,social_associations_# Associations,social_associations_Social Association Rate,social_associations_Quartile,violent_crime_Annual Average Violent Crimes,violent_crime_Violent Crime Rate,violent_crime_Quartile,injury_deaths_# Injury Deaths,injury_deaths_Injury Death Rate,injury_deaths_95% CI - Low,injury_deaths_95% CI - High,injury_deaths_Quartile,injury_deaths_Injury Death Rate (AIAN),injury_deaths_Injury Death Rate (AIAN) 95% CI - Low,injury_deaths_Injury Death Rate (AIAN) 95% CI - High,injury_deaths_Injury Death Rate (Asian),injury_deaths_Injury Death Rate (Asian) 95% CI - Low,injury_deaths_Injury Death Rate (Asian) 95% CI - High,injury_deaths_Injury Death Rate (Black),injury_deaths_Injury Death Rate (Black) 95% CI - Low,injury_deaths_Injury Death Rate (Black) 95% CI - High,injury_deaths_Injury Death Rate (Hispanic),injury_deaths_Injury Death Rate (Hispanic) 95% CI - Low,injury_deaths_Injury Death Rate (Hispanic) 95% CI - High,injury_deaths_Injury Death Rate (White),injury_deaths_Injury Death Rate (White) 95% CI - Low,injury_deaths_Injury Death Rate (White) 95% CI - High,air_pollution_particulate_matter_Average Daily PM2.5,air_pollution_particulate_matter_Quartile,drinking_water_violations_Presence of Water Violation,drinking_water_violations_Quartile,severe_housing_problems_% Severe Housing Problems,severe_housing_problems_95% CI - Low,severe_housing_problems_95% CI - High,severe_housing_problems_Severe Housing Cost Burden,severe_housing_problems_Severe Housing Cost Burden 95% CI - Low,severe_housing_problems_Severe Housing Cost Burden 95% CI - High,severe_housing_problems_Overcrowding,severe_housing_problems_Overcrowding 95% CI - Low,severe_housing_problems_Overcrowding 95% CI - High,severe_housing_problems_Inadequate Facilities,severe_housing_problems_Inadequate Facilities 95% CI - Low,severe_housing_problems_Inadequate Facilities 95% CI - High,severe_housing_problems_Quartile,drive_alone_to_work_% Drive Alone to Work,drive_alone_to_work_95% CI - Low,drive_alone_to_work_95% CI - High,drive_alone_to_work_Quartile,drive_alone_to_work_% Drive Alone (AIAN),drive_alone_to_work_% Drive Alone (AIAN) 95% CI - Low,drive_alone_to_work_% Drive Alone (AIAN) 95% CI - High,drive_alone_to_work_% Drive Alone (Asian),drive_alone_to_work_% Drive Alone (Asian) 95% CI - Low,drive_alone_to_work_% Drive Alone (Asian) 95% CI - High,drive_alone_to_work_% Drive Alone (Black),drive_alone_to_work_% Drive Alone (Black) 95% CI - Low,drive_alone_to_work_% Drive Alone (Black) 95% CI - High,drive_alone_to_work_% Drive Alone (Hispanic),drive_alone_to_work_% Drive Alone (Hispanic) 95% CI - Low,drive_alone_to_work_% Drive Alone (Hispanic) 95% CI - High,drive_alone_to_work_% Drive Alone (White),drive_alone_to_work_% Drive Alone (White) 95% CI - Low,drive_alone_to_work_% Drive Alone (White) 95% CI - High,long_commute_driving_alone_# Workers who Drive Alone,long_commute_driving_alone_% Long Commute - Drives Alone,long_commute_driving_alone_95% CI - Low,long_commute_driving_alone_95% CI - High,long_commute_driving_alone_Quartile,Unnamed: 249,State_Name,id,State_Code,Zip_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,sum_w,nr of FFchains
0,01000,Alabama,,,82249.0,9820.0,9718.0,9922.0,,5145.0,4094.0,6196.0,,3383.0,2898.0,3867.0,,12214.0,12000.0,12428.0,,4321.0,4003.0,4639.0,,9248.0,9126.0,9371.0,,21,20,23,,"4,4","4,1","4,7",,"4,9","4,6","5,2",,,10.0,10.0,10.0,,9.0,8.0,11.0,9.0,9.0,10.0,16.0,15.0,16.0,7.0,7.0,7.0,8.0,8.0,8.0,20,19,21,,36,,,,5.5,,29,,,,61.0,,15,14,16,,1280.0,4764.0,27.0,26.0,28.0,,28437.0,"583,4",,29.0,29.0,29.0,,15.0,12.0,18.0,5.0,4.0,6.0,35.0,35.0,36.0,51.0,49.0,53.0,25.0,24.0,25.0,470052.0,12.0,12.0,12.0,,3187.0,65.0,1534:1,,2446.0,50.0,2005:1,,5310.0,108.0,923:1,,5466.0,,8887.0,2557.0,6844.0,4518.0,5220.0,40.0,,35.0,33.0,40.0,30.0,40.0,43.0,,44.0,43.0,31.0,34.0,46.0,2861955,3320877,86,86.0,86.0,,749416,1234335,61,60.0,61.0,,67265.0,2241752.0,"3,0",,22.0,21.0,23.0,,20.0,11.0,40.0,39.0,14.0,103239.0,19709.0,"5,2",,347950.0,1093711.0,32.0,31.0,32.0,,6022,"12,3",,23307.0,480.0,,20599.0,84.0,83.0,86.0,,37.0,28.0,48.0,25.0,20.0,30.0,80.0,78.0,82.0,40.0,37.0,44.0,91.0,90.0,92.0,"9,2",,,,14,14.0,14.0,12,12.0,12.0,2,2,2,1,1,1,,86,85,86,,81.0,70.0,91.0,77.0,75.0,79.0,84.0,84.0,84.0,77.0,76.0,78.0,87.0,87.0,87.0,2073072,35,34,35,,,,,,,,,,,,,,,0.0
1,01001,Alabama,Autauga,,787.0,7830.0,6998.0,8662.0,1.0,,,,,,,,,10729.0,8641.0,12816.0,,,,,,7245.0,6301.0,8190.0,,20,17,22,1.0,"4,5","4,1","4,9",1.0,"4,9","4,5","5,2",1.0,,9.0,8.0,10.0,2.0,,,,,,,14.0,12.0,16.0,,,,8.0,7.0,9.0,20,17,23,1.0,33,27.0,39.0,1.0,6.7,3.0,31,25.0,37.0,2.0,69.0,1.0,14,14,15,2.0,19.0,57.0,33.0,26.0,40.0,4.0,280.0,"504,5",2.0,24.0,21.0,26.0,1.0,,,,,,,29.0,23.0,36.0,,,,23.0,20.0,26.0,4693.0,10.0,9.0,11.0,1.0,26.0,47.0,2139:1,2.0,19.0,34.0,2940:1,2.0,16.0,29.0,3492:1,3.0,6650.0,4.0,,,9081.0,,6293.0,39.0,2.0,,,35.0,,40.0,42.0,2.0,,,32.0,42.0,43.0,33076,37367,89,87.0,90.0,1.0,8689,14362,60,54.0,67.0,1.0,714.0,26172.0,"2,7",1.0,16.0,11.0,21.0,1.0,,11.0,56.0,4.0,16.0,109062.0,21425.0,"5,1",2.0,3267.0,13205.0,25.0,20.0,30.0,1.0,68,"12,2",2.0,149.0,272.0,2.0,190.0,68.0,59.0,78.0,1.0,,,,,,,47.0,31.0,69.0,,,,76.0,64.0,88.0,"10,4",4.0,No,1.0,14,11.0,16.0,12,10.0,14.0,1,0,2,2,1,3,3.0,86,83,88,2.0,,,,,,,80.0,74.0,85.0,,,,82.0,78.0,87.0,24635,38,34,42,2.0,,Alabama,822012.6609071274,1.0,35879.092872570196,118524398.31965443,3958554.3995680343,32.98511393261339,-86.76682933304537,53735.55723542117,64082.386609071276,41703.81641468682,504.39568743970074,0.0
2,01003,Alabama,Baldwin,,3147.0,7680.0,7237.0,8124.0,1.0,,,,,,,,,10269.0,8724.0,11814.0,,4223.0,2907.0,5931.0,,7708.0,7207.0,8208.0,,16,14,19,1.0,"3,6","3,3","4,1",1.0,"4,8","4,4","5,2",1.0,,8.0,8.0,9.0,1.0,,,,9.0,5.0,13.0,15.0,13.0,16.0,6.0,5.0,7.0,8.0,7.0,8.0,19,16,22,1.0,30,27.0,33.0,1.0,7.8,1.0,25,22.0,28.0,1.0,74.0,1.0,19,18,20,4.0,53.0,179.0,30.0,26.0,33.0,3.0,632.0,"297,2",1.0,26.0,24.0,28.0,1.0,,,,,,,33.0,28.0,38.0,45.0,37.0,53.0,24.0,23.0,26.0,22660.0,13.0,12.0,15.0,3.0,153.0,70.0,1425:1,1.0,110.0,49.0,2029:1,1.0,220.0,99.0,1015:1,1.0,3471.0,1.0,3128.0,,4832.0,2761.0,3414.0,43.0,1.0,38.0,33.0,39.0,30.0,43.0,46.0,1.0,57.0,41.0,33.0,39.0,46.0,137219,151112,91,90.0,92.0,1.0,33404,49776,67,63.0,71.0,1.0,2653.0,97328.0,"2,7",1.0,14.0,9.0,18.0,1.0,20.0,,33.0,24.0,10.0,116934.0,26666.0,"4,4",1.0,10321.0,46133.0,22.0,20.0,25.0,1.0,229,"10,5",3.0,408.0,204.0,1.0,777.0,73.0,68.0,78.0,1.0,,,,,,,43.0,31.0,59.0,25.0,13.0,43.0,80.0,74.0,86.0,"7,2",1.0,No,1.0,13,12.0,14.0,12,11.0,13.0,1,1,1,0,0,0,3.0,84,82,85,1.0,,,,,,,86.0,82.0,90.0,72.0,62.0,83.0,82.0,80.0,84.0,93141,40,38,43,3.0,,,,,,,,,,,,,,19.0
3,01005,Alabama,Barbour,,515.0,11477.0,9908.0,13045.0,3.0,,,,,,,,,13846.0,11422.0,16269.0,,,,,,9424.0,7385.0,11464.0,,30,27,33,4.0,"5,6","5,2","6,0",4.0,"5,6","5,3","6,0",3.0,,11.0,10.0,13.0,3.0,,,,,,,15.0,13.0,17.0,,,,7.0,5.0,9.0,26,23,28,4.0,41,34.0,49.0,3.0,5.5,4.0,28,22.0,35.0,1.0,53.0,2.0,12,12,13,1.0,13.0,33.0,39.0,30.0,48.0,4.0,191.0,"755,8",4.0,37.0,32.0,43.0,3.0,,,,,,,38.0,31.0,45.0,57.0,29.0,99.0,34.0,26.0,43.0,2310.0,14.0,12.0,15.0,4.0,8.0,32.0,3110:1,3.0,9.0,36.0,2743:1,2.0,3.0,12.0,8229:1,4.0,5314.0,2.0,,,5946.0,,5281.0,44.0,1.0,,,42.0,,46.0,39.0,3.0,,,33.0,,41.0,13152,17964,73,71.0,75.0,4.0,2379,6680,36,31.0,40.0,4.0,324.0,8537.0,"3,8",4.0,41.0,29.0,53.0,4.0,,,67.0,83.0,17.0,74745.0,12495.0,"6,0",4.0,2707.0,5307.0,51.0,45.0,57.0,4.0,19,"7,6",4.0,106.0,414.0,3.0,98.0,77.0,63.0,94.0,1.0,,,,,,,75.0,55.0,100.0,,,,80.0,58.0,106.0,"9,4",3.0,No,1.0,14,11.0,16.0,13,10.0,15.0,2,1,3,1,0,1,3.0,82,79,85,1.0,,,,,,,80.0,73.0,87.0,,,,86.0,82.0,91.0,8231,31,26,36,2.0,,Alabama,1011010.0,1.0,36048.0,26070325.0,23254.0,31.708516,-85.611039,37725.0,19528.0,43789.0,258.017684685483,1.0
4,01007,Alabama,Bibb,,476.0,12173.0,10506.0,13839.0,4.0,,,,,,,,,13027.0,9571.0,17323.0,,,,,,12377.0,10416.0,14338.0,,24,21,27,2.0,"4,9","4,5","5,3",2.0,"5,3","4,9","5,6",1.0,,10.0,9.0,12.0,2.0,,,,,,,17.0,13.0,20.0,,,,9.0,7.0,10.0,23,21,26,2.0,37,30.0,46.0,3.0,7.6,1.0,33,26.0,41.0,3.0,16.0,4.0,15,15,16,4.0,8.0,27.0,30.0,19.0,40.0,3.0,139.0,"613,2",3.0,38.0,32.0,44.0,3.0,,,,,,,24.0,15.0,38.0,,,,40.0,33.0,47.0,1764.0,11.0,9.0,12.0,1.0,12.0,54.0,1867:1,2.0,5.0,22.0,4479:1,3.0,6.0,27.0,3732:1,3.0,6690.0,4.0,,,4416.0,,6544.0,33.0,4.0,,,32.0,,34.0,40.0,3.0,,,31.0,,41.0,12782,16168,79,75.0,83.0,4.0,2483,6186,40,33.0,48.0,4.0,266.0,8685.0,"3,1",2.0,26.0,17.0,34.0,3.0,,,34.0,,30.0,84389.0,16869.0,"5,0",2.0,1404.0,4586.0,31.0,18.0,43.0,2.0,19,"8,5",4.0,20.0,89.0,1.0,119.0,106.0,87.0,125.0,4.0,,,,,,,106.0,69.0,155.0,,,,110.0,89.0,135.0,"10,0",3.0,No,1.0,9,6.0,12.0,8,5.0,11.0,1,0,1,1,0,1,1.0,87,82,92,3.0,,,,,,,,,,,,,,,,8167,52,44,60,4.0,,,,,,,,,,,,,,0.0
5,01009,Alabama,Blount,,1100.0,11096.0,10087.0,12105.0,3.0,,,,,,,,,,,,,,,,,,,,,22,19,25,2.0,"5,0","4,5","5,5",2.0,"5,4","4,9","5,8",2.0,,7.0,7.0,8.0,1.0,,,,,,,,,,6.0,5.0,8.0,7.0,7.0,8.0,23,20,26,2.0,33,27.0,39.0,1.0,7.9,1.0,33,28.0,39.0,3.0,16.0,4.0,16,15,17,4.0,15.0,82.0,18.0,13.0,24.0,1.0,176.0,"303,4",1.0,31.0,28.0,34.0,2.0,,,,,,,,,,30.0,22.0,40.0,32.0,28.0,35.0,6642.0,14.0,12.0,16.0,4.0,12.0,21.0,4820:1,4.0,11.0,19.0,5257:1,4.0,10.0,17.0,5783:1,4.0,4440.0,1.0,,,10909.0,,4458.0,37.0,3.0,,,,13.0,37.0,40.0,3.0,,,22.0,31.0,41.0,32028,39791,80,78.0,82.0,3.0,7862,14102,56,51.0,61.0,2.0,676.0,25331.0,"2,7",1.0,21.0,16.0,26.0,1.0,,,4.0,38.0,15.0,95721.0,21618.0,"4,4",1.0,3003.0,13372.0,22.0,17.0,28.0,1.0,45,"7,8",4.0,279.0,483.0,3.0,311.0,108.0,96.0,120.0,4.0,,,,,,,,,,41.0,20.0,73.0,116.0,103.0,130.0,"10,6",4.0,No,1.0,10,8.0,12.0,7,6.0,9.0,2,1,2,1,1,2,1.0,88,86,89,3.0,,,,,,,,,,80.0,47.0,100.0,84.0,80.0,88.0,21690,58,54,62,4.0,,Alabama,1011400.0,1.0,35049.0,9758714.0,14775.0,33.992756,-86.500325,55127.0,44609.0,39231.0,87.1966609562178,3.0
6,01011,Alabama,Bullock,,189.0,10802.0,8440.0,13163.0,2.0,,,,,,,,,,,,,,,,,,,,,31,28,35,4.0,"5,5","5,1","5,9",4.0,"5,4","5,0","5,8",2.0,,15.0,13.0,18.0,4.0,,,,,,,17.0,14.0,20.0,10.0,5.0,15.0,,,,25,22,28,4.0,47,30.0,62.0,4.0,5.0,4.0,42,29.0,56.0,4.0,3.0,4.0,12,11,12,1.0,12.0,22.0,55.0,45.0,63.0,4.0,126.0,"1222,2",4.0,46.0,36.0,56.0,4.0,,,,,,,47.0,37.0,60.0,63.0,30.0,116.0,,,,815.0,12.0,10.0,14.0,2.0,3.0,30.0,3379:1,4.0,2.0,20.0,5051:1,4.0,3.0,30.0,3367:1,3.0,5645.0,2.0,,,6366.0,,3822.0,32.0,4.0,,,25.0,,45.0,29.0,4.0,,,22.0,,43.0,5303,7101,75,68.0,81.0,4.0,854,2655,32,21.0,44.0,4.0,175.0,4818.0,"3,6",3.0,40.0,24.0,56.0,4.0,,,67.0,5.0,,70400.0,12503.0,"5,6",4.0,1561.0,2119.0,74.0,61.0,87.0,4.0,8,"7,9",4.0,33.0,311.0,2.0,51.0,99.0,74.0,130.0,3.0,,,,,,,109.0,77.0,148.0,,,,89.0,43.0,163.0,"9,2",2.0,No,1.0,20,13.0,27.0,19,12.0,26.0,0,0,1,2,0,4,4.0,81,65,97,1.0,,,,,,,74.0,60.0,88.0,,,,77.0,67.0,86.0,4319,47,30,64,4.0,,,,,,,,,,,,,,0.0
7,01013,Alabama,Butler,,398.0,12848.0,10897.0,14799.0,4.0,,,,,,,,,13158.0,10411.0,15906.0,,,,,,13128.0,10134.0,16123.0,,28,25,30,4.0,"5,4","5,0","5,8",4.0,"5,7","5,4","6,1",4.0,,12.0,11.0,14.0,4.0,,,,,,,15.0,12.0,17.0,,,,9.0,7.0,12.0,23,20,25,2.0,47,38.0,55.0,4.0,6.8,2.0,40,32.0,49.0,4.0,49.0,2.0,13,12,13,1.0,16.0,52.0,31.0,24.0,38.0,3.0,185.0,"933,2",4.0,37.0,31.0,43.0,3.0,,,,,,,37.0,30.0,46.0,,,,38.0,29.0,48.0,1838.0,12.0,10.0,14.0,2.0,5.0,25.0,3936:1,4.0,6.0,31.0,3241:1,2.0,11.0,57.0,1768:1,2.0,8070.0,4.0,,,9099.0,,7696.0,39.0,2.0,,,43.0,,36.0,35.0,4.0,,,25.0,,40.0,11753,13819,85,83.0,87.0,2.0,1962,4868,40,34.0,47.0,4.0,338.0,9263.0,"3,6",4.0,35.0,24.0,45.0,4.0,,,48.0,77.0,14.0,83270.0,16618.0,"5,0",2.0,1841.0,4455.0,41.0,33.0,50.0,4.0,19,"9,7",3.0,117.0,582.0,4.0,98.0,99.0,80.0,121.0,3.0,,,,,,,90.0,64.0,123.0,,,,112.0,85.0,145.0,"8,9",2.0,Yes,4.0,12,9.0,14.0,11,8.0,13.0,2,1,3,0,0,1,2.0,86,82,90,2.0,,,,,,,82.0,77.0,88.0,,,,90.0,88.0,91.0,7820,31,26,36,1.0,,Alabama,1011120.0,1.0,36033.0,16154540.0,0.0,31.639134,-86.746762,27993.0,19757.0,27656.0,553.438214146472,0.0
8,01015,Alabama,Calhoun,,2340.0,11327.0,10628.0,12025.0,3.0,,,,,,,,,10559.0,9125.0,11994.0,,,,,,11837.0,10996.0,12678.0,,24,21,27,2.0,"4,9","4,4","5,3",2.0,"5,7","5,3","6,1",4.0,,9.0,9.0,10.0,2.0,,,,,,,14.0,13.0,16.0,6.0,4.0,8.0,8.0,7.0,8.0,21,18,24,1.0,40,36.0,44.0,3.0,6.6,3.0,31,28.0,35.0,2.0,48.0,3.0,14,13,14,2.0,16.0,106.0,15.0,11.0,20.0,1.0,683.0,"595,3",3.0,32.0,30.0,34.0,2.0,,,,,,,32.0,28.0,36.0,35.0,26.0,47.0,33.0,30.0,35.0,10166.0,11.0,10.0,13.0,1.0,73.0,64.0,1565:1,1.0,77.0,68.0,1475:1,1.0,139.0,122.0,817:1,1.0,5879.0,3.0,,,7507.0,5196.0,5630.0,33.0,4.0,,41.0,36.0,35.0,33.0,40.0,3.0,,46.0,31.0,29.0,42.0,66793,79108,84,83.0,86.0,2.0,16959,28823,59,55.0,63.0,1.0,1635.0,46209.0,"3,5",3.0,25.0,18.0,31.0,2.0,,20.0,49.0,30.0,16.0,93318.0,19267.0,"4,8",2.0,7506.0,24756.0,30.0,27.0,34.0,2.0,163,"14,3",1.0,871.0,756.0,4.0,527.0,92.0,84.0,100.0,2.0,,,,,,,72.0,58.0,89.0,46.0,22.0,85.0,102.0,92.0,111.0,"10,8",4.0,No,1.0,13,11.0,14.0,11,9.0,12.0,2,1,2,1,1,1,2.0,84,83,86,1.0,,,,,,,84.0,80.0,88.0,87.0,74.0,99.0,88.0,86.0,90.0,47207,31,29,33,2.0,,,,,,,,,,,,,,7.0
9,01017,Alabama,Chambers,,635.0,10371.0,9066.0,11677.0,2.0,,,,,,,,,9759.0,7861.0,11656.0,,,,,,10550.0,8744.0,12355.0,,25,23,27,3.0,"5,0","4,7","5,4",2.0,"5,5","5,1","5,8",3.0,,13.0,11.0,14.0,4.0,,,,,,,17.0,15.0,19.0,,,,9.0,8.0,11.0,23,21,25,3.0,42,34.0,50.0,4.0,6.7,3.0,29,22.0,36.0,1.0,62.0,1.0,14,13,14,2.0,11.0,37.0,30.0,21.0,39.0,3.0,240.0,"711,9",4.0,42.0,37.0,47.0,4.0,,,,,,,45.0,37.0,52.0,,,,40.0,33.0,47.0,3092.0,12.0,10.0,13.0,2.0,14.0,42.0,2401:1,3.0,6.0,18.0,5542:1,4.0,1.0,3.0,33254:1,4.0,5784.0,3.0,,,6653.0,,5416.0,36.0,3.0,,,37.0,,36.0,43.0,2.0,,,31.0,,48.0,19417,23789,82,79.0,84.0,3.0,3966,7964,50,43.0,56.0,3.0,462.0,15748.0,"2,9",2.0,30.0,21.0,40.0,4.0,,,31.0,88.0,12.0,83878.0,17480.0,"4,8",1.0,2408.0,7065.0,34.0,27.0,41.0,3.0,61,"18,1",1.0,181.0,529.0,4.0,154.0,91.0,77.0,106.0,2.0,,,,,,,56.0,40.0,77.0,,,,120.0,98.0,142.0,"10,2",4.0,No,1.0,15,12.0,18.0,11,9.0,14.0,3,2,4,1,0,2,3.0,86,84,88,2.0,,,,,,,86.0,79.0,94.0,,,,86.0,78.0,93.0,14367,30,26,33,1.0,,Alabama,708300.3333333334,1.0,36660.0,14418237.333333334,27644.333333333332,32.88355266666667,-85.42247133333335,45107.0,37033.0,36150.0,837.6162904726549,4.0
