,FIPS,State,County,premature_deathYears_of_Potential_Life_Lost_Rate,adult_smoking_% Smokers,excessive_drinking_% Excessive Drinking,food_environment_index_Food Environment Index,uninsured_% Uninsured,unemployed_% Unemployed,nr of FFchains,Mean,is_obese
1,01001,Alabama,Autauga,7830.0,20,14,6.7,10.0,2,0.0,53735.55723542117,True
3,01005,Alabama,Barbour,11477.0,26,12,5.5,14.0,3,1.0,37725.0,True
5,01009,Alabama,Blount,11096.0,23,16,7.9,14.0,2,3.0,55127.0,True
7,01013,Alabama,Butler,12848.0,23,13,6.8,12.0,3,0.0,27993.0,True
9,01017,Alabama,Chambers,10371.0,23,14,6.7,12.0,2,4.0,45107.0,True
11,01021,Alabama,Chilton,10109.0,23,15,7.6,16.0,2,2.0,43767.0,True
17,01033,Alabama,Colbert,10467.0,22,16,7.0,11.0,3,1.0,60729.0,True
19,01037,Alabama,Coosa,12687.0,25,14,6.7,13.0,3,0.0,31229.0,True
20,01039,Alabama,Covington,11526.0,23,15,6.9,12.0,3,4.0,46370.0,True
22,01043,Alabama,Cullman,10115.0,23,15,7.6,14.0,2,2.0,54514.5,True
25,01049,Alabama,DeKalb,10537.0,25,13,7.3,19.0,2,1.0,47929.0,False
26,01051,Alabama,Elmore,8112.0,19,15,7.4,10.0,2,0.0,49958.0,True
27,01053,Alabama,Escambia,11843.0,25,15,6.3,15.0,3,8.0,33737.0,True
28,01055,Alabama,Etowah,11495.0,23,15,6.7,12.0,3,4.0,50459.666666666664,True
30,01059,Alabama,Franklin,9762.0,23,15,7.4,16.0,2,2.0,55758.5,True
31,01061,Alabama,Geneva,11998.0,25,15,7.0,14.0,2,1.0,41057.0,True
32,01063,Alabama,Greene,12918.0,27,10,3.8,12.0,5,0.0,32777.0,True
33,01065,Alabama,Hale,13672.0,24,12,6.3,11.0,3,0.0,34452.5,True
36,01071,Alabama,Jackson,11126.0,24,15,7.1,13.0,3,4.0,56029.0,True
37,01073,Alabama,Jefferson,11082.0,18,17,6.6,11.0,2,25.0,106463.0,True
38,01075,Alabama,Lamar,11152.0,24,15,7.1,12.0,3,0.0,44572.0,True
40,01079,Alabama,Lawrence,11511.0,24,15,7.4,14.0,3,0.0,42079.0,True
41,01081,Alabama,Lee,7241.0,19,17,6.7,11.0,2,5.0,64649.0,False
47,01093,Alabama,Marion,10537.0,24,15,7.0,13.0,3,1.0,45143.5,True
49,01097,Alabama,Mobile,10290.0,21,17,6.6,13.0,3,16.0,56973.42857142857,True
52,01103,Alabama,Morgan,9710.0,21,14,7.5,13.0,2,5.0,57994.0,True
54,01107,Alabama,Pickens,8848.0,24,13,6.8,12.0,3,0.0,35028.0,True
56,01111,Alabama,Randolph,12343.0,23,14,7.1,13.0,3,0.0,48217.0,True
58,01115,Alabama,St. Clair,9242.0,21,15,7.9,12.0,2,8.0,0.0,True
59,01117,Alabama,Shelby,5942.0,15,18,8.3,8.0,2,9.0,61313.333333333336,True
60,01119,Alabama,Sumter,13369.0,23,11,5.4,13.0,4,0.0,22603.0,True
61,01121,Alabama,Talladega,12029.0,24,13,6.8,12.0,3,0.0,54807.0,True
62,01123,Alabama,Tallapoosa,10208.0,24,14,7.0,12.0,3,1.0,55849.0,True
63,01125,Alabama,Tuscaloosa,8535.0,20,15,7.3,10.0,2,9.0,59112.5,True
64,01127,Alabama,Walker,14797.0,25,14,6.8,13.0,3,2.0,51907.0,True
65,01129,Alabama,Washington,10145.0,24,14,6.7,14.0,4,0.0,67392.0,False
99,04001,Arizona,Apache,15486.0,25,15,2.2,21.0,9,0.0,63183.57342657343,True
100,04003,Arizona,Cochise,7614.0,17,20,6.7,11.0,5,8.0,42740.333333333336,False
101,04005,Arizona,Coconino,8539.0,17,20,6.8,13.0,5,9.0,62513.5,False
102,04007,Arizona,Gila,14180.0,23,20,5.9,15.0,5,0.0,81213.57142857143,False
103,04009,Arizona,Graham,8426.0,20,19,6.2,12.0,4,1.0,55575.0,True
106,04013,Arizona,Maricopa,6461.0,15,19,8.0,13.0,4,138.0,75077.0,False
107,04015,Arizona,Mohave,10068.0,25,21,5.7,13.0,5,9.0,50804.142857142855,False
108,04017,Arizona,Navajo,14257.0,23,16,4.6,14.0,7,5.0,36601.833333333336,True
109,04019,Arizona,Pima,7533.0,17,20,7.5,12.0,4,16.0,55898.6,False
110,04021,Arizona,Pinal,6942.0,19,19,7.7,12.0,4,5.0,58458.333333333336,True
111,04023,Arizona,Santa Cruz,5632.0,16,17,6.7,17.0,8,1.0,41648.0,False
112,04025,Arizona,Yavapai,7945.0,18,22,7.0,15.0,4,3.0,46226.0,False
113,04027,Arizona,Yuma,6291.0,17,17,6.3,14.0,16,9.0,38239.75,True
115,05001,Arkansas,Arkansas,10791.0,25,15,5.4,9.0,3,2.0,53392.40845070423,True
116,05003,Arkansas,Ashley,9989.0,26,16,5.9,10.0,5,1.0,43595.0,True
118,05007,Arkansas,Benton,6080.0,19,19,8.1,10.0,2,9.0,51528.0,False
120,05011,Arkansas,Bradley,12357.0,25,15,6.5,11.0,4,1.0,40194.0,False
125,05021,Arkansas,Clay,12107.0,28,17,6.5,10.0,4,0.0,41443.0,True
126,05023,Arkansas,Cleburne,10985.0,25,18,7.3,9.0,4,0.0,56439.0,True
128,05027,Arkansas,Columbia,9430.0,25,14,6.3,10.0,4,0.0,48380.0,True
129,05029,Arkansas,Conway,10390.0,25,17,6.6,8.0,4,1.0,55086.0,True
130,05031,Arkansas,Craighead,8150.0,22,15,6.7,9.0,2,5.0,43930.333333333336,True
131,05033,Arkansas,Crawford,8225.0,24,16,7.0,10.0,3,1.0,49044.0,True
134,05039,Arkansas,Dallas,10554.0,25,15,5.7,8.0,4,1.0,38731.0,True
137,05045,Arkansas,Faulkner,8034.0,21,17,7.2,8.0,3,11.0,61441.0,True
139,05049,Arkansas,Fulton,12146.0,28,16,5.8,9.0,4,0.0,141250.0,False
140,05051,Arkansas,Garland,10905.0,23,17,6.4,10.0,3,0.0,52558.0,False
141,05053,Arkansas,Grant,8518.0,23,18,7.4,7.0,3,3.0,48025.0,True
142,05055,Arkansas,Greene,10080.0,25,17,6.6,7.0,3,1.0,40121.0,True
144,05059,Arkansas,Hot Spring,11518.0,25,17,6.7,8.0,3,2.0,39519.0,True
148,05067,Arkansas,Jackson,10712.0,28,15,5.8,9.0,6,4.0,38032.666666666664,True
153,05077,Arkansas,Lee,11636.0,29,14,4.0,9.0,4,0.0,32433.666666666668,True
155,05081,Arkansas,Little River,9734.0,24,15,6.8,9.0,4,0.0,46324.0,True
157,05085,Arkansas,Lonoke,9170.0,22,18,7.5,8.0,3,5.0,49237.0,True
158,05087,Arkansas,Madison,11648.0,26,17,6.6,13.0,2,2.0,36716.0,False
159,05089,Arkansas,Marion,11326.0,26,18,6.6,10.0,4,0.0,43262.0,False
161,05093,Arkansas,Mississippi,14112.0,27,14,5.9,8.0,5,1.0,48019.333333333336,True
163,05097,Arkansas,Montgomery,7742.0,27,18,6.1,13.0,4,0.0,31172.0,False
