,FIPS,State,County,premature_deathYears_of_Potential_Life_Lost_Rate,adult_smoking_% Smokers,excessive_drinking_% Excessive Drinking,food_environment_index_Food Environment Index,uninsured_% Uninsured,unemployed_% Unemployed,poor_physical_health_days_Average Number of Physically Unhealthy Days,poor_mental_health_days_Average Number of Mentally Unhealthy Days,nr of FFchains,Mean,is_obese
0,01000,Alabama,,9820.0,20,15,5.5,12.0,"3,0","4,4","4,9",0.0,,True
1,01001,Alabama,Autauga,7830.0,20,14,6.7,10.0,"2,7","4,5","4,9",0.0,53735.55723542117,True
2,01003,Alabama,Baldwin,7680.0,19,19,7.8,13.0,"2,7","3,6","4,8",19.0,,False
3,01005,Alabama,Barbour,11477.0,26,12,5.5,14.0,"3,8","5,6","5,6",1.0,37725.0,True
4,01007,Alabama,Bibb,12173.0,23,15,7.6,11.0,"3,1","4,9","5,3",0.0,,True
5,01009,Alabama,Blount,11096.0,23,16,7.9,14.0,"2,7","5,0","5,4",3.0,55127.0,True
6,01011,Alabama,Bullock,10802.0,25,12,5.0,12.0,"3,6","5,5","5,4",0.0,,True
7,01013,Alabama,Butler,12848.0,23,13,6.8,12.0,"3,6","5,4","5,7",0.0,27993.0,True
8,01015,Alabama,Calhoun,11327.0,21,14,6.6,11.0,"3,5","4,9","5,7",7.0,,True
9,01017,Alabama,Chambers,10371.0,23,14,6.7,12.0,"2,9","5,0","5,5",4.0,45107.0,True
10,01019,Alabama,Cherokee,11737.0,24,16,7.7,13.0,"2,9","4,9","5,6",1.0,,True
11,01021,Alabama,Chilton,10109.0,23,15,7.6,16.0,"2,7","4,9","5,5",2.0,43767.0,True
12,01023,Alabama,Choctaw,11232.0,23,14,6.1,13.0,"4,7","5,2","5,6",0.0,,True
13,01025,Alabama,Clarke,11294.0,24,14,5.7,13.0,"5,8","5,3","5,6",5.0,,True
14,01027,Alabama,Clay,10820.0,25,16,7.5,16.0,"3,0","5,1","5,7",1.0,,True
15,01029,Alabama,Cleburne,11428.0,24,16,7.2,14.0,"3,2","4,9","5,5",0.0,,True
16,01031,Alabama,Coffee,8355.0,21,16,7.2,13.0,"2,9","4,6","4,8",0.0,,True
17,01033,Alabama,Colbert,10467.0,22,16,7.0,11.0,"3,7","4,6","5,3",1.0,60729.0,True
18,01035,Alabama,Conecuh,13182.0,26,13,5.8,12.0,"4,0","5,4","5,8",0.0,,True
19,01037,Alabama,Coosa,12687.0,25,14,6.7,13.0,"3,0","5,2","5,4",0.0,31229.0,True
20,01039,Alabama,Covington,11526.0,23,15,6.9,12.0,"3,4","5,0","5,4",4.0,46370.0,True
21,01041,Alabama,Crenshaw,10407.0,23,14,6.0,13.0,"2,8","5,0","5,5",0.0,,True
22,01043,Alabama,Cullman,10115.0,23,15,7.6,14.0,"2,6","4,9","5,2",2.0,54514.5,True
23,01045,Alabama,Dale,10261.0,21,16,6.3,11.0,"3,1","4,7","5,1",0.0,,True
24,01047,Alabama,Dallas,13776.0,25,12,5.3,11.0,"5,5","5,3","5,4",0.0,,True
25,01049,Alabama,DeKalb,10537.0,25,13,7.3,19.0,"2,8","5,5","5,9",1.0,47929.0,False
